+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  0 |       NEW |     READY |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |     READY |
|                 0 |  4 |       NEW |     READY |
|                 0 |  0 |     READY |   RUNNING |
|               100 |  0 |   RUNNING |     READY |
|               100 |  1 |     READY |   RUNNING |
|               200 |  1 |   RUNNING |     READY |
|               200 |  2 |     READY |   RUNNING |
|               300 |  2 |   RUNNING |     READY |
|               300 |  3 |     READY |   RUNNING |
|               400 |  3 |   RUNNING |     READY |
|               400 |  4 |     READY |   RUNNING |
|               500 |  4 |   RUNNING |     READY |
|               500 |  0 |     READY |   RUNNING |
|               600 |  0 |   RUNNING |     READY |
|               600 |  1 |     READY |   RUNNING |
|               700 |  1 |   RUNNING |     READY |
|               700 |  2 |     READY |   RUNNING |
|               800 |  2 |   RUNNING |   WAITING |
|               800 |  3 |     READY |   RUNNING |
|               900 |  3 |   RUNNING |     READY |
|               900 |  2 |   WAITING |     READY |
|               900 |  4 |     READY |   RUNNING |
|              1000 |  4 |   RUNNING |     READY |
|              1000 |  0 |     READY |   RUNNING |
|              1100 |  0 |   RUNNING |   WAITING |
|              1100 |  1 |     READY |   RUNNING |
|              1200 |  1 |   RUNNING |     READY |
|              1200 |  0 |   WAITING |     READY |
|              1200 |  3 |     READY |   RUNNING |
|              1300 |  3 |   RUNNING |     READY |
|              1300 |  2 |     READY |   RUNNING |
|              1400 |  2 |   RUNNING |     READY |
|              1400 |  4 |     READY |   RUNNING |
|              1500 |  4 |   RUNNING |   WAITING |
|              1500 |  1 |     READY |   RUNNING |
|              1600 |  1 |   RUNNING |     READY |
|              1600 |  4 |   WAITING |     READY |
|              1600 |  0 |     READY |   RUNNING |
|              1700 |  0 |   RUNNING |TERMINATED |
|              1700 |  5 |       NEW |     READY |
|              1700 |  3 |     READY |   RUNNING |
|              1800 |  3 |   RUNNING |   WAITING |
|              1800 |  2 |     READY |   RUNNING |
|              1900 |  2 |   RUNNING |TERMINATED |
|              1900 |  6 |       NEW |     READY |
|              1900 |  3 |   WAITING |     READY |
|              1900 |  1 |     READY |   RUNNING |
|              2000 |  1 |   RUNNING |TERMINATED |
|              2000 |  4 |     READY |   RUNNING |
|              2100 |  4 |   RUNNING |TERMINATED |
|              2100 |  5 |     READY |   RUNNING |
|              2200 |  5 |   RUNNING |     READY |
|              2200 |  6 |     READY |   RUNNING |
|              2300 |  6 |   RUNNING |     READY |
|              2300 |  3 |     READY |   RUNNING |
|              2400 |  3 |   RUNNING |     READY |
|              2400 |  5 |     READY |   RUNNING |
|              2500 |  5 |   RUNNING |   WAITING |
|              2500 |  6 |     READY |   RUNNING |
|              2600 |  6 |   RUNNING |     READY |
|              2600 |  5 |   WAITING |     READY |
|              2600 |  3 |     READY |   RUNNING |
|              2700 |  3 |   RUNNING |TERMINATED |
|              2700 |  6 |     READY |   RUNNING |
|              2800 |  6 |   RUNNING |     READY |
|              2800 |  5 |     READY |   RUNNING |
|              2900 |  5 |   RUNNING |TERMINATED |
|              2900 |  6 |     READY |   RUNNING |
|              3000 |  6 |   RUNNING |TERMINATED |
+------------------------------------------------+
